ranking,num,data,name,score
3201,(232人评分),"
                         12话 /  2010年3月26日 / 大畑晃一 / 塩崎雄二（WANI BOOKS・月刊「COMIC GUM」连载） / りんしん                    ",一骑当千 XTREME XECUTOR,6.4
3202,(151人评分),"
                         4话 /  2015年3月27日                    ",漫喫ハプニング,6.3
3203,(643人评分),"
                          2011年8月27日 / 畑健二郎                    ",旋风管家 HEAVEN IS A PLACE ON EARTH,6.4
3204,(54人评分),"
                          2017年5月10日                    ",游戏王VRAINS,5.8
3205,(198人评分),"
                         10话 /  2011年9月22日 / 小島正幸 / コナミデジタルエンタテインメント / 碇谷敦                    ",武装神姬 Moon Angel,6.3
3206,(119人评分),"
                         12话 /  2016年7月7日 / 高松信司 / 馬谷くらり                    ",美男高校地球防卫部LOVE！LOVE！,6.2
3207,(340人评分),"
                          2007年8月18日 / 曽利文彦                    ",2077日本锁国,6.4
3208,(2898人评分),"
                         13话 /  2014年1月8日                    ",中二病也要谈恋爱！恋,6.5
3209,(231人评分),"
                         11话 /  2016年7月14日 / 望月智充 / あさのあつこ / 草間英興                    ",野球少年,6.3
3210,(236人评分),"
                         13话 /  2016年7月4日 / 星野桂                    ",驱魔少年 HALLOW,6.3
3211,(104人评分),"
                         2话 /  2004年3月1日 / 谷田部勝義                    ",机动战士高达SEED MSV ASTRAY,6.1
3212,(188人评分),"
                         13话 /  2007年1月13日 / 川口敬一郎                    ",月面兔兵器米娜,6.3
3213,(218人评分),"
                         4话 /  2010年11月26日                    ",HHH トリプルエッチ,6.3
3214,(177人评分),"
                         4话 /  2008年5月2日 / Black Lilith                    ",宇宙海贼萨拉,6.3
3215,(163人评分),"
                         1话 /  2007                    ",名侦探柯南 来自阿笠的挑战书！阿笠VS柯南&少年侦探团,6.3
3216,(1058人评分),"
                         25话 /  2015年10月3日 / 元永慶太郎 / アクアプラス                    ",传颂之物 虚伪的假面,6.5
3217,(945人评分),"
                         12话 /  2017年1月5日                    ",清恋,6.5
3218,(608人评分),"
                         51话 /  2007年10月6日 / 安田賢司 / PEACH-PIT / 崔ふみひで                    ",守护甜心!,6.4
3219,(132人评分),"
                          日本：2013-07-13、台湾：2013-08-16、美国：2013-10-19（Cartoon Network）等                    ",剧场版 精灵宝可梦超级愿望—最终章—：神速的盖诺赛克特 超梦觉醒,6.2
3220,(700人评分),"
                         13话 /  2014年10月6日 / 青井小夜 / いときち                    ",我家浴缸的二三事,6.4
3221,(72人评分),"
                         52话 /  2007                    ",小鲤鱼历险记,6.0
3222,(270人评分),"
                         26话 /  2010-10-01 / 大張正己 / SR Produce Team                    ",超级机器人大战OG -The inspector-,6.4
3223,(79人评分),"
                         3话 /  2013-11-22                    ",鬼畜  ～母姉妹調教日記～,6.0
3224,(54人评分),"
                         2话 /  2009-09-25                    ",魔界天使 第三季,5.8
3225,(1094人评分),"
                         16话 /  2015年4月3日                    ",长门有希酱的消失,6.5
3226,(107人评分),"
                         2话 /  2010年9月24日                    ",姦染3 首都崩壊,6.1
3227,(1638人评分),"
                         12话 /  2011年7月1日 / 草川啓造 / 蒼山サグ / 野口孝行                    ",萝球社！,6.5
3228,(767人评分),"
                         13话 /  2014年1月8日 / 安西理晃                    ",姐姐来了,6.4
3229,(63人评分),"
                         1话 /  2014年8月13日 / 温世仁                    ",秦时明月之特别篇罗生堂下,5.9
3230,(80人评分),"
                         1话 /  2006年9月27日                    ",百变之星 妙啊！妙！,6.1
3231,(433人评分),"
                         12话 /  2017年4月7日 / 喜多幡徹 / 三月 / 植田和幸；柳沢まさひで（辅助）                    ",雏子的笔记,6.4
3232,(163人评分),"
                         49话 /  2014年2月2日                    ",Happiness Charge 光之美少女!,6.2
3233,(374人评分),"
                         12话 /  2016年10月5日 / 島田フミカネ&Projekt World Witches                    ",无畏魔女,6.4
3234,(188人评分),"
                         1话 /  2017年1月12日                    ",超级弹丸论破2.5 狛枝凪斗与世界的破坏者,6.3
3235,(65人评分),"
                          1987年7月18日                    ",圣斗士星矢 黄金的苹果,6.0
3236,(570人评分),"
                         12话 /  2009年4月2日 / HobbyJAPAN / りんしん                    ",女皇之刃 流浪的战士,6.4
3237,(189人评分),"
                         24话 /  2016年1月10日 / 大久保富彦 / 水野美波「虹色デイズ」                    ",虹色时光,6.3
3238,(202人评分),"
                         10话 /  2008年1月4日                    ",破天荒游戏,6.3
3239,(1187人评分),"
                         13话 /  2011年7月2日 / 紅ノ月歌音/ブロッコリー                    ",歌之王子殿下 真爱1000%,6.4
3240,(116人评分),"
                         12话 /  2016年10月3日 / まいた菜穂「12歳。」（ちゃお / 小学館）                    ",12岁。小小的胸口心跳加速 第二季,6.1
3241,(170人评分),"
                         1话 /  2011年3月30日                    ",祝福的钟声 OVA,6.2
3242,(68人评分),"
                         3话 /  2004-02-25                    ",V.G.NEO THE ANIMATION,5.9
3243,(200人评分),"
                         2话 /  2012-08-31                    ",少女×少女×少女 THE ANIMATION,6.3
3244,(138人评分),"
                         2话 /  2006-12-22 / アトリエかぐや                    ",姉汁 THE ANIMATION～白川三姉妹におまかせ～,6.2
3245,(196人评分),"
                         12话 /  2015年1月3日 / ブシロード、クロノギアクリエイティヴ                    ",侦探歌剧 少女福尔摩斯 TD,6.3
3246,(257人评分),"
                         2话 /  2014年8月20日                    ",火星异种 Bugs2号编,6.3
3247,(117人评分),"
                         2话 /  2016-10-07 / 木之本なつみ / ema20                    ",少女波子汽水,6.1
3248,(303人评分),"
                         2话 /  2011年7月29日                    ",淫落的血族2,6.3
3249,(153人评分),"
                         63话 /  2014年2月28日 / 李豪凌 / 权迎升                    ",中国惊奇先生,6.2
3250,(52人评分),"
                         2话 /  2006年10月27日 / 岡尾貴洋 / HOOKSOFT / 内野明雄                    ",初夏,5.8
3251,(148人评分),"
                         7话 /  2009年7月29日                    ",K-On!:Ura-On!,6.2
3252,(155人评分),"
                          2014年3月1日 / 今井一暁 / 亀田祥倫                    ",帕罗的未来岛,6.2
3253,(123人评分),"
                         1话 /  2012年3月19日 / 川又浩                    ",浮浮啾啾,6.2
3254,(599人评分),"
                         12话 /  2010年12月10日 / 谷東 / 逢空万太                    ",潜行吧！奈亚子 Remember My Love,6.4
3255,(100人评分),"
                         1话 /  2012年2月29日 / やまねあやの                    ",探索者的目标,6.1
3256,(67人评分),"
                          2012-12-21                    ",悪の女幹部 フルムーンナイト,5.9
3257,(710人评分),"
                         12话 /  2015年7月7日 / 吉原達矢 / オカヤド / 砂川貴哉                    ",魔物娘的同居日常,6.4
3258,(167人评分),"
                         65话 /  1974年4月1日                    ",ChargeMan研,6.2
3259,(53人评分),"
                         17话 /  2004年6月30日                    ",东月西阳,5.8
3260,(70人评分),"
                         2话 /  2008/04/18 / BaseSon / 加野晃                    ",春恋＊乙女 ～乙女の園で逢いましょう。～,5.9
